PRDLST_NM,BSSH_NM,
간케어프리미엄,(주)네추럴에프앤피2공장,
아이클리어올케어,(주)한국씨엔에스팜,
메가블록우먼스베이직비타민·미네랄,(주)한국씨엔에스팜,
SS(에스에스)여신,농업회사법인에스에스바이오팜(주),
맘앙떼엽산,(주)한국씨엔에스팜,
비타씨스틱,콜마비앤에이치(주)음성공장,
다이어트비포&컷,(주)오투바이오,
비타비스틱,콜마비앤에이치(주)음성공장,
플래티넘오메가-3,주식회사한미양행,
콜레우스다이어트플러스,주식회사한미양행,
오메가3혈행건강플러스,주식회사한미양행,
프로폴리스는맛있다키즈,(주)네추럴에프앤피2공장,
프로폴리스는맛있다,(주)네추럴에프앤피2공장,
키(key)바이오틱스,주식회사한미양행,
슬리몬가르시니아다이어트옐로위시,주)팜크로스,
아이에스업(ISUP)정,(주)비오팜,
애터미슬림바디보이차,콜마비앤에이치(주)음성공장,
건강애(愛),(주)유니쎌팜,
닥터슬리머,주식회사노바렉스,
알로퀸C,동서바이오팜(주),
"슈퍼프로디골드(SUPERPRO-DGOLD,전량수출용)",고려인삼과학주식회사,
소중한간건강밀크씨슬,(주)허브큐어,
더스트롱용상,코스맥스바이오(주),
생앤청심,극동에치팜(주),
KA-NEPLUSZINC(수출용),에프엔바이오(주),
슬리몬녹차카테킨다이어트그리너리,주)팜크로스,
히어로키드골드(HEROKIDGOLD)(전량수출용),고려인삼과학주식회사,
홍삼농축액,강원인삼농협,
플래티넘코엔자임Q10코큐텐,주식회사한미양행,
프리미엄간건강밀크씨슬,(주)허브큐어,
프로폴리스항산화플러스,주식회사한미양행,
프로릭,(주)농업회사법인비엔케어,
파워슬림다이어트알로에겔,두리농산,
쾌변에좋은알로에골드,주)팜크로스,
코엔자임Q10항산화플러스,주식회사한미양행,
고려흑삼정캡슐삼,(주)케이지앤에프,
마미하트에너지유산균,주)팜크로스,
밀크씨슬프리미엄간건강솔루션,주식회사한미양행,
고려흑삼분말캡슐,(주)케이지앤에프,
실큐아이케어오메가3,(주)알피바이오,
앱솔루트파워멀티비타민&미네랄22플러스,(주)비오팜,
쏘팔메토전립선건강플러스,주식회사한미양행,
엽산600플러스,(주)유유헬스케어,
눈에좋은아이안,(주)허브큐어,
멀티비타민앤드미네랄,에스케이내추럴팜(주),
관절앤N-아세틸글루코사민,(주)비오팜,
리얼모닝,(주)유유헬스케어,
슬림프로바이오틱스,코스맥스엔비티(주),
100세건강365,에스케이내추럴팜(주),
혈행개선에좋은나토키나제,(주)비오팜,
프로릭골드,(주)농업회사법인비엔케어,
컴파운드-P프리미엄(전량수출용),(주)유니쎌팜,
+착한비타민C,(주)메디오젠,
6년근홍삼정데일리원스틱,대동고려삼(주),
플래티넘키즈멀티비타민미네랄,주)팜크로스,
플래티넘칼슘마그네슘아연비타민D,주식회사한미양행,
코제소프트,(주)다스코바이오,
캐로시톨,(주)한국씨엔에스팜,
엔바이탈프로바이오틱스8,(주)비피도,
VITSLIM(전량수출용),(주)유유헬스케어,
슈퍼루테인컴플렉스,주식회사한미양행,
리얼영양,(주)유유헬스케어,
홍삼정파워스틱,김포파주인삼농업협동조합,
프리미엄루테인골드,(주)한국씨엔에스팜,
퓨어키즈멀티비타민앤미네랄,네이처퓨어코리아(주),
팜프로틴더블유피아이,네이처퓨어코리아(주),
팜엔탑남성여성멀티비타민미네랄프리미엄,(주)한국씨엔에스팜,
트리플로얄B,네이처퓨어코리아(주),
웰씨드프로바이오틱스,(주)네추럴에프앤피2공장,
웰씨드오메가3,(주)네추럴에프앤피2공장,
웰씨드밀크씨슬,(주)네추럴에프앤피2공장,
웰씨드멀티비타민미네랄,(주)네추럴에프앤피2공장,
빼자까페다이어트,(주)빈스힐,
슬리머즈스타I,(주)뉴트롬,
엔오지(ENOGY),코스맥스엔비티(주),
LactobacillussakeiProbio65,(주)프로바이오닉,
슈퍼로얄B,네이처퓨어코리아(주),
리모가나,동서바이오팜(주),
간만세,노비스바이오(주),
베이비아연파우더,네이처퓨어코리아(주),
베이비비타민C파우더,네이처퓨어코리아(주),
관절건강리프리놀,코스맥스바이오(주),
골드라벨비오틴365다이어트,엠에스바이오텍(주),
앨트헬스뷰라인슬림듀오,주식회사노바렉스2공장,
KPOP골드,노비스바이오(주),
혜간원환,노비스바이오(주),
프리미엄루테인맥스,콜마비앤에이치(주)음성공장,
패밀리미네랄1500,(주)큐비엠,
코큐텐100mg,콜마비앤에이치(주)음성공장,
제이케이스페셜홍삼(紅蔘),(주)동원에프앤비,
장건강,(주)서흥,
셀링크컴파운드케이,한국네츄럴팜,
눈건강엔루테인,콜마비앤에이치(주)음성공장,
알로에-에스,신화제약(주),
고려흑삼분말,(주)케이지앤에프,
마디마디관절튼튼,엠에스바이오텍(주),
순한유산균,주식회사아람,
글램디이지슬림레몬맛,콜마비앤에이치(주)음성공장,
홍삼제조파워,(주)바이오션,
플래티넘키즈생유산균19,주)팜크로스,
프리미엄산호칼슘,(주)유유헬스케어,
퓨어키즈칼슘앤징크D,네이처퓨어코리아(주),
콜레로뺄래,주식회사한미양행,
코르셋보이차다이어트,주)팜크로스,
지밸런스85프로바이오틱스패밀리,주)팜크로스,
셀렌후켄골드플러스,(주)허브큐어,
InnerBellaProbioticsPlusFamily(중국수출용),(주)비피도,
마그네슘프리미엄,네이처퓨어코리아(주),
아이젠루테인,주식회사노바렉스2공장,
뉴피니션다이어트액티브,주식회사노바렉스,
셀렌효모,(주)허브큐어,
모닝간건강밀크씨슬,주식회사바이오에비뉴,
쏘팔메토골드플러스,주식회사노바렉스2공장,
굿밸런스다이어트,동서바이오팜(주),
구전정경부인,(주)에이치엘사이언스,
다이어트스페셜1포스콜리500,주식회사한미양행,
다이어트스페셜2가르시니아900,주식회사한미양행,
메가쏘팔메토,주식회사노바렉스2공장,
플래티넘프로폴리스7,주식회사한미양행,
생생건강유산균,(주)뉴팜,
고려홍삼농축액20,(주)일화,
소중한눈건강루테인,(주)허브큐어,
IMMUNISSIMOBIFIDO(전량수출용),(주)비피도,
리얼코큐텐,극동에치팜(주),
황후진옥,코스맥스엔비티(주),
제트솔루션원큐,(주)충청바이오텍,
락토바실루스플란타럼아이디씨씨(IDCC)3501알지(RG),일동바이오사이언스(주),
비타민E&C,코스맥스엔비티(주),
루테인LUTEIN,주식회사한미양행,
피오카연질캡슐,(주)서흥,
팜엔탑엽산,(주)한국씨엔에스팜,
웰씨드루테인,(주)네추럴에프앤피2공장,
웰씨드N-아세틸글루코사민,(주)네추럴에프앤피2공장,
식물성오메가900,(주)서흥,
히알루론산젤리,콜마비앤에이치(주)음성공장,
활력건강엔멀티비타민,주)팜크로스,
홍삼진액본,(주)아모레퍼시픽,
홍삼정원데이스틱,풍기인삼농협,
피부생유산균닥터플러스CJLP133,주식회사노바렉스,
프레쉬즈데이,콜마비앤에이치(주)음성공장,
팜엔탑뼈에좋은해조칼슘프리미엄,(주)한국씨엔에스팜,
팜엔탑비헴철철분,(주)한국씨엔에스팜,
팜엔탑비타민D1000D3프리미엄,(주)한국씨엔에스팜,
천년지삼홍삼액진,(주)서흥오창공장,
"채워줘,비오틴10000",콜마비앤에이치(주)음성공장,
웰러스눈에좋은오메가루테인,(주)한국씨엔에스팜,
리커버삼환프리미엄,노비스바이오(주),
간편한에센셜,(주)한국씨엔에스팜,
바디핏다이어트CLA,주식회사한미양행,
아반바슈퍼로얄비타민C플러스,주)팜크로스,
도테라스페셜블렌드복합코팅유산균,일동바이오사이언스(주),
상큼한언니알로에겔,코스맥스바이오(주),
애터미루테인(대만수출용),콜마비앤에이치(주)음성공장,
아큐러시듀얼액트,(주)한국씨엔에스팜,
뿌리채소가볍다,(주)삼양패키징광혜원공장,
딜리셔스워터젤리,콜마비앤에이치(주)음성공장,
브라질리안그린프로폴리스,주식회사한국바이오건강,
백수오,(주)한국씨엔에스팜,
엔홍삼분골드,에이펙셀(주),
쁘띠앤아이언C+,주식회사노바렉스,
금흑흑녹정,농업회사법인금산흑삼주식회사,
슬립이너프슬립웰,(주)네추럴에프앤피2공장,
아이시안루테인+오메가3,주식회사노바렉스2공장,
간건강밀크씨슬,(주)한국씨엔에스팜,
비젼업루테인,(주)네추럴에프앤피2공장,
흑삼정,(주)그린바이오,
홍이장군키즈랩7종유산균,일동바이오사이언스(주),
포뮬러멀티비타민미네랄포우먼,(주)유유헬스케어,
클로렐라바이탈B플러스,주식회사노바렉스,
청호화(淸皓華),코스맥스바이오(주),
징코골드파워,(주)유니쎌팜,
앙팡장건강생유산균19,콜마비앤에이치(주)음성공장,
고려흑삼농축액,(주)케이지앤에프,
그린프로폴리스,주식회사한국바이오건강,
7종복합코팅유산균,일동바이오사이언스(주),
비타홀릭멀티비타민미네랄,(주)한국씨엔에스팜,
홍삼정(수출용),인성제약(주),
홍삼농축액로얄플러스,(주)다정,
프리미엄루테인플러스12,(주)허브큐어,
NnEstroCareCapsule,(주)서흥,
프로바이오틱컴플렉스(전량수출용),(주)비피도,
포뮬러멀티비타민미네랄포맨,(주)유유헬스케어,
파파유산균베이비플러스,엠에스바이오텍(주),
일동스트렙토코커스써모필루스아이디씨씨(IDCC)2201,일동바이오사이언스(주),
일동락토바실루스불가리쿠스아이디씨씨(IDCC)3601,일동바이오사이언스(주),
눈건강프리미엄루테인,주식회사바이오에비뉴,
데이핏,코스맥스엔비티(주),
다이어트에이드DietAid레몬맛,콜마비앤에이치(주)음성공장,
MSM1500,(주)한국씨엔에스팜,
다이어트에이드DietAid자몽맛,콜마비앤에이치(주)음성공장,
슬림하게다이어트유산균깔라만시맛,주)팜크로스,
바디핏다이어트위드알로에,주)팜크로스,
베라틱스프로바이오틱스유산균,콜마비앤에이치(주)음성공장,
홍삼농축액,농업회사법인주식회사거림제약,
혼합유산균디에스나인,주식회사락토메이슨,
풋풋한풋사과슬림,(주)서흥,
케이에이에스헤모힘당귀등혼합추출물,콜마비앤에이치(주),
중요한날엔발포비타민워터에너지,(주)오투바이오,
이뮤놀알지쓰리골드,(주)서흥오창공장,
옥타G프리미엄,극동에치팜(주),
내몸에사과해밀크씨슬,(주)네추럴에프앤피2공장,
닥터진플로렌스,대동고려삼(주),
데일리쾌변,(주)한풍네이처팜,
에너지업멀티비타민,(주)네추럴에프앤피2공장,
17종혼합유산균1000억,주식회사락토메이슨,
아이브라이트아레즈투,주식회사노바렉스2공장,
밀크씨슬,네이처퓨어코리아(주),
휴럼홍삼정로얄,주식회사휴럼,
활기찬날엔발포종합비타민,(주)오투바이오,
홍삼정,(주)천호엔케어,
트루모아바이오틱스키즈,(주)비오팜,
트루락패밀리,주식회사휴럼,
천심본홍삼보감,(주)천호엔케어,
진홍삼메가스틱,(주)비티진,
제이엠청솔(JMCHEONGSOL)(전량수출용),농업회사법인에스에스바이오팜(주),
제이엠엠에스엠(전량수출용),농업회사법인에스에스바이오팜(주),
일양백수오프리미엄골드,코스맥스바이오(주),
일동락토바실루스파라카세이아이디씨씨(IDCC)3401,일동바이오사이언스(주),
유산균2b,(주)화진바이오코스메틱,
오하나스피루리나,(주)유유헬스케어,
건강한날엔발포비타민D칼슘마그네슘,(주)오투바이오,
고려인삼정캡슐삼플러스(PLUS),(주)삼진GNF,
상큼한날엔발포비타민C1000,(주)오투바이오,
바디핏다이어트HCA,(주)비오팜,
락토바실러스람노서스100억,(주)뉴팜,
서흥백수오미인플러스,(주)서흥,
삼성파워라이프골드(전량수출용),농업회사법인에스에스바이오팜(주),
삼성홍삼정로얄(전량수출용),농업회사법인에스에스바이오팜(주),
꽃피는춘삼월(春蔘月),(주)동원에프앤비,
N2CHLORELLA(전량수출용),(주)네추럴에프앤피2공장,
한강홍삼진액,금산덕원인삼약초영농조합법인,
콜레컨트롤스위트블랙,(주)삼양패키징광혜원공장,
콜레컨트롤블랙,(주)삼양패키징광혜원공장,
이뮨푸드에스,(주)네추럴에프앤피2공장,
앤뷰티다이어트라인1,콜마비앤에이치(주)음성공장,
아이키즈업카카오맛,(주)네추럴에프앤피2공장,
뉴트리디-데이플러스멀티비타민앤미네랄,(주)케이지앤에프,
밀웜프로틴,주식회사한미양행,
아반바슈퍼로얄비타민C알파,주)팜크로스,
마시는가르시니아,(주)바이오로제트,
비겐닥터나토키나제,포항바이오파크,
인삼분말9,(주)일화,
올바른건강올바른밀크씨슬,주식회사한미양행,
애터미츄어블칼슘,콜마비앤에이치(주)음성공장,
비맥징크-씨,네이처퓨어코리아(주),
신비감플러스,콜마비앤에이치(주)음성공장,
연홍이플러스다이나믹부스터업,콜마비앤에이치(주)음성공장,
눈건강트리플비타민ACE,콜마비앤에이치(주)음성공장,
백수오궁수여인,(주)서흥,
안티스트레스솔루션,콜마비앤에이치(주)음성공장,
아연비타민D프리미엄,네이처퓨어코리아(주),
혈당억제구아바,네이처퓨어코리아(주),
써큐넥신나토키나제(전량수출용),코스맥스바이오(주),
고려은단홍삼비타민C오리지날,고려은단헬스케어(주),
듀오락김치유산균LP3,(주)쎌바이오텍,
홍삼정골드익스트림21,충북인삼농협고려인삼창,
혈류본골드,엠에스바이오텍(주),
프로메가오메가3파워,종근당건강(주),
키즈락토듀얼,코스맥스바이오(주),
천지인홍삼정(精)캡슐,코스맥스바이오(주),
젤블리,코스맥스바이오(주),
닥터오메가루테인골드,코스맥스바이오(주),
앤틱슬림,코스맥스바이오(주),
액트엔,(주)네추럴에프앤피2공장,
면역부스터,엠에스바이오텍(주),
글루엑스,콜마비앤에이치(주)음성공장,
쁘띠브이멀티비타민,(주)네추럴에프앤피2공장,
로셀프로바이오틱스씨C,코스맥스바이오(주),
비타스틱,코스맥스바이오(주),
옐로틴,코스맥스바이오(주),
굿베이스오메가3,(주)서흥,
프리미엄눈건강닥터.루테인,극동에치팜(주),
프리미엄간건강닥터.밀크씨슬,극동에치팜(주),
폭풍다이어트레드,(주)한국씨엔에스팜,
폭풍다이어트그린,(주)한국씨엔에스팜,
튼튼닷컴19종생유산균,주식회사노바렉스,
슬리미에스플러스,코스맥스바이오(주),
아이키즈업바닐라맛,(주)네추럴에프앤피2공장,
맛있는어린이DHA,코스맥스바이오(주),
써큘업레드오메가3,(주)네추럴에프앤피2공장,
굿썸리:본Re:born,주식회사노바렉스2공장,
로셀프로바이오틱스에스S,코스맥스바이오(주),
홍삼정골드10,충북인삼농협고려인삼창,
홍삼농축액15,(주)그린바이오,
슈퍼미네랄,네이처퓨어코리아(주),
스피젠프로바이오틱스-G5,엠에스바이오텍(주),
바뮤,(주)유니쎌팜,
베스처비타민C1000,이앤에스(주),
액티브관절MSM(엠에스엠),콜마비앤에이치(주)음성공장,
슬림24,극동에치팜(주),
건강한이바넨,(주)충청바이오텍,
홍삼농축액10,대동고려삼(주),
혼합유산균19종,콜마비앤에이치(주)음성공장,
하와이안스피루리나,(주)유유헬스케어,
퓨어비타민C,(주)유유헬스케어,
파워업멀티비타민앤미네랄7,(주)허브큐어,
이뮨푸드1,(주)한풍네이처팜,
우체국쇼핑진홍삼스틱,대동고려삼(주),
생유산균알파,주식회사아람,
고려흑삼분말캅셀,대동고려삼(주),
뉴트리디-데이플러스오메가3,주식회사한미양행,
브에노히알라젠,콜마비앤에이치(주)음성공장,
간건강밀크씨슬,콜마비앤에이치(주)음성공장,
다이어트굿이브닝슬리밍스페셜,(주)비오팜,
굿케어미라클컷,(주)비오팜,
바디핏다이어트카테킨,주)팜크로스,
뉴트리디데이플러스비타민D1000IU,(주)허브큐어,
수고했어,콜마비앤에이치(주)음성공장,
엑시트,주식회사아람,
멀티비타민프리미엄,(주)허브큐어,
홍삼정데일리원,(주)다정,
홍삼농축액분말12,주식회사진산사이언스,
항산화코큐텐+3,(주)알피바이오,
한송정홍삼농축액오리진(origin),개성인삼농협,
포머스타빅,(주)뉴트롬,
파워썸,(주)한풍네이처팜,
티케이비TKB통쾌변,(주)한국씨엔에스팜,
인삼분말9,주식회사진산사이언스,
오큐텐플러스에이,(주)한국씨엔에스팜,
스윗바디,(주)유유헬스케어,
다이어트레드미,콜마비앤에이치(주)음성공장,
S라인이보이는보이차다이어트,(주)한국씨엔에스팜,
다함(多咸)고려홍삼정스틱,농업회사법인주식회사한국삼,
간건강,(주)서흥,
멀티비타민키즈,네이처퓨어코리아(주),
삼성에버렉스플라본,주식회사노바렉스,
고려홍삼황제,주식회사진산사이언스,
메가사포니아골드스틱,(주)비티진,
명품홍삼蔘,한국생약영농조합법인,
만나파낙스3,주)건강을지키는사람들,
설틴큐,(주)뉴트롬,
에너지부스터,주식회사노바렉스,
힘내,콜마비앤에이치(주)음성공장,
뉴알로에쾌변30,주식회사노바렉스,
프로바이오락베이비뼈건강,풀무원건강생활(주),
수용성프로폴리스,유니크바이오텍(주),
아스타진,(주)유니쎌팜,
고려인삼활강력(수출용),(주)한국인삼공사,
양인홍삼환(养人紅蔘丸),인성제약(주),
생생아이프로바이오,(주)서흥,
혈압솔루션,(주)서흥,
트리플러스50+,(주)서흥,
징코플러스Q10(GinkgoPLUSQ10),일양약품(주),
장쾌원,에스케이내추럴팜(주),
보이미락,콜마비앤에이치(주)음성공장,
바비슬렌더,(주)유유헬스케어,
네오뷰프라임멀티비타민플러스,콜마비앤에이치(주)음성공장,
리얼솔루션코엔자임큐텐,주식회사한미양행,
"엽산600&비타민B6,B12",(주)한국씨엔에스팜,
아이프로텍트루테인,(주)알피바이오,
비오틴,한국바이오팜(주),
듀썸헬씨썸바디에프티오핏,동서바이오팜(주),
엔엘(NL)프리미엄비타민미네랄칼슘,콜마비앤에이치(주)음성공장,
헬시슬리밍파워킬다이어트정,콜마비앤에이치(주)음성공장,
프리미엄오메가-3골드,(주)허브큐어,
커비스트생유산균20,(주)허브큐어,
우먼솔루션스틱,콜마비앤에이치(주)음성공장,
고려인삼차플러스,(주)농협홍삼,
다이어트에이엠피엠,주식회사한미양행,
기운찬아연비타C,(주)오투바이오,
멀티륨,극동에치팜(주),
빼사랑,(주)두루원,
리얼콤플렉스멀티비타민,(주)허브큐어,
홍삼농축액11,(주)그린바이오,
햇살가득효모비타민D,네이처퓨어코리아(주),
프리미엄고려홍삼농축액,(주)건보,
퓨어비타민D,네이처퓨어코리아(주),
씨놀쏘팔메토,(주)다스코바이오,
스무디킹다이어트슬림핏젤리,(주)서흥오창공장,
매그넘19밀크씨슬,콜마비앤에이치(주)음성공장,
락토철분30,네이처퓨어코리아(주),
다빔배변&다이어트솔루션,(주)한풍네이처팜,
홍삼정캡슐(수출용),(주)한국인삼공사,
홍삼농축액분말10,대동고려삼(주),
한빛발효홍삼골드,인성제약(주),
플러스코엔자임Q10,주식회사한미양행,
프리미엄루테인골드,주식회사한미양행,
정관장홍삼타브렛(수출용),(주)한국인삼공사,
인성프로폴리스,(주)비오팜,
시크릿미다이어트칼로리셋애프터,주식회사한미양행,
셀에디션(Selledition),(주)유유헬스케어,
7종혼합유산균,일동바이오사이언스(주),
고려은단진홍삼,(주)그린바이오,
황후애궁,대동고려삼(주),
홍삼농축액13,대동고려삼(주),
홍삼농축액11,대동고려삼(주),
혈통원프리미엄,(주)유유헬스케어,
핏다이어트젤리포도맛,콜마비앤에이치(주)음성공장,
프로바이오락베이비튼튼,풀무원건강생활(주),
풀린애비타골드,(주)서흥오창공장,
파워칼로리락콤플렉스,코스맥스바이오(주),
트리어드오메가3스테디(TRIADOmega3Steady),주식회사셀로닉스,
컴파운드-P엑스트라플러스,(주)유니쎌팜,
칼슘폴리감마글루탐산(PGA),풀무원건강생활(주),
제주농장생알로에겔,제주농장영농조합법인제주지점,
정간원,코스맥스바이오(주),
인삼농축액12,(주)일화,
우리아이유산균츄어블,(주)뉴팜,
옵테인,(주)알피바이오,
간건강프리미엄밀크씨슬,주)팜크로스,
뉴트리디-데이플러스칼슘앤비타민D,(주)케이지앤에프,
생그린청춘골드,(주)한국씨엔에스팜,
발효홍삼농축액9,(주)일화,
마이크젠바이옴10종혼합유산균,일동바이오사이언스(주),
어린이유산균,(주)뉴팜,
바디핏다이어트풋사과젤리,(주)서흥오창공장,
그린이뮤노헬퍼,코스맥스바이오(주),
SHEZWELL,(주)서흥,
데일리라이트눈건강루테인플러스,주식회사한미양행,
고려홍삼정골드캅셀프리미엄,(주)유니쎌팜,
로지나베르지프로폴리스골드,(주)허브큐어,
비타민D2000IU,에스케이내추럴팜(주),
엔바이탈밀크씨슬,코스맥스바이오(주),
엔바이탈홍삼스틱,코스맥스바이오(주),
프리미엄알티지오메가1200,(주)알피바이오,
알티지오메가3플러스D,(주)알피바이오,
프로바이오밸런스7,코스맥스엔비티(주),
파인사노-디,엠에스바이오텍(주),
쿨가이,엠에스바이오텍(주),
고백타임,(주)유니쎌팜,
메가톤2080퀸,노비스바이오(주),
엠에스멀티비타민13종액상스틱,엠에스바이오텍(주),
식이섬유야맛있다!,주식회사엠에스씨,
엠에스13종비타민키즈스틱,엠에스바이오텍(주),
프로바이오틱스에스19,코스맥스바이오(주),
편한흑삼농축액,풍기특산물영농조합법인,
장에좋은유산균골드,주)팜크로스,
장건강프리미엄유산균,주)팜크로스,
인텐시브프로바이오틱스콤플렉스,코스맥스바이오(주),
인성헬스골드정,(주)비오팜,
에스트로어게인,노비스바이오(주),
뽀로로튼튼칼슘플러스비타민D/초코맛,주식회사비엠제약,
소럽폴리스(전량수출용),유니크바이오텍(주),
본티움(Bontium),(주)비오팜,
면역엔글루칸,(주)비오팜,
비앤빛아이케어에브리데이,코스맥스바이오(주),
굿베이스칼슘마그네슘비타민DK,(주)서흥,
뼈건강프리미엄칼슘마그네슘,(주)비오팜,
슬림핏라이트,(주)아모레퍼시픽,
대웅클린톡스(DaewoongCleanTalk's),주식회사대웅생명과학,
팻다운톡가르시니아애플맛,주식회사노바렉스,
팻다운톡가르시니아깔라만시맛,주식회사노바렉스,
튼튼멀티츄,네이처퓨어코리아(주),
리턴미라클컷,주식회사노바렉스,
어린이칼슘츄어블,콜마비앤에이치(주)음성공장,
서큘레이션,주식회사노바렉스,
꽃마멀티비타민&미네랄,(주)비오팜,
멀티비타민&미네랄울트라,이앤에스(주),
에버리진화이버더블디,(주)한풍네이처팜,
4년근홍삼농축액분말21,대동고려삼(주),
웰키커(well-kicker)어린이칼슘앤비타민D,디에이치팜(주),
식물성데일리오메가3,주식회사한국바이오건강,
갈릭지알에이GRA,삼성제약(주),
옥타지(Z),농업회사법인에스에스바이오팜(주),
닥터클로렐라100,주식회사노바렉스,
관절앤오메가DHA,코스맥스바이오(주),
9종아이혼합유산균,(주)메디오젠,
아이튼튼비타민먹는용용이,(주)네추럴에프앤피2공장,
올인원멀티비타민,주)팜크로스,
넌먹을때가젤예뻐바디컷가르시니아,주식회사한미양행,
발효홍삼농축액분말13,(주)일화,
시크릿미다이어트칼로리셋시너지,주식회사한미양행,
리얼닥터100억유산균,(주)뉴팜,
악마다이어트레드라벨파워가르시니아,(주)허브큐어,
솔빛키즈,주식회사한미양행,
삼성종합비타민멀티플러스,(주)허브큐어,
비타민D캡슐,(주)알피바이오,
나라모,주식회사이수바이오,
6년근고려홍삼정골드진,(주)허브큐어,
시크릿미다이어트칼로리셋비포,주식회사한미양행,
홍화(紅和)정,(주)한국인삼공사,
한홍삼플러스,(주)한풍네이처팜,
퍼스트홍삼농축액분말10,(주)퍼스트바이오,
트라스프리미엄,(주)한풍네이처팜,
클로-디티엑스I,(주)뉴트롬,
젬무브생생칼슘,(주)두루원,
젬무브생생엠에스엠,(주)두루원,
뉴쏘팔메토에이스,(주)한국씨엔에스팜,
비오5000,(주)아오스,
굿베이스비타민C,(주)서흥,
쏠렉안티스트레스테아닌,코스맥스바이오(주),
8종혼합유산균엔,(주)메디오젠,
가인佳人백수오,(주)서흥오창공장,
홍삼진액원(전량수출용),(주)화인내츄럴,
플래티늄오메가3골드,주식회사한미양행,
클리어퍼펙트컷,(주)비오팜,
건강한간리버-에스(Liver-S),주식회사한미양행,
퓨어멀티비타민앤미네랄13,에스케이내추럴팜(주),
진쎈인,(주)유니쎌팜,
일동락토바실루스살리바리우스아이디씨씨(IDCC)3551,일동바이오사이언스(주),
에이포뮬러멀티비타민&미네랄14,(주)한국씨엔에스팜,
닥터알티지오메가-3,(주)한국씨엔에스팜,
강한남자,(주)유니쎌팜,
아이룩스-지,(주)알피바이오,
애플시크릿,주식회사네추럴웨이,
광동멀티비타민골드365,(주)허브큐어,
비타민D드롭(VitaminDDrop),코스맥스엔비티(주),
내몸사랑건간환,(주)허브큐어,
해조칼슘-D플러스,네이처퓨어코리아(주),
항산화젤리,콜마비앤에이치(주)음성공장,
프라임종합비타민미네랄플러스,(주)에스엘에스,
킨더프로바이오틱스,엠에스바이오텍(주),
철분앤비타민C,에스케이내추럴팜(주),
웰니스칸골드,대동고려삼(주),
밀크씨슬+,(주)서흥,
마이니보타닉오메가3,(주)서흥,
린가드다이어트,엠에스바이오텍(주),
맥효비,(주)서흥,
엔숨홍삼프리미엄,주식회사동진제약,
내몸애풋사과하자,(주)서흥,
더슬림,엠에스바이오텍(주),
안성마춤홍삼정,안성인삼협동조합인삼가공공장,
데일리슬림다이어트,콜마비앤에이치(주)음성공장,
ABC(에이비씨)수용성프로폴리스추출물,서울프로폴리스(주),
갈아넣은홍삼타블렛,에스케이내추럴팜(주),
스키니랩시크릿보이차다이어트,콜마비앤에이치(주)음성공장,
비움배변,(주)오투바이오,
메노케어,네이처퓨어코리아(주),
더블슬림다이어트1,네이처퓨어코리아(주),
화이버서포트스틱,주식회사노바렉스,
햇살비타민D젤리,코스맥스바이오(주),
더힘찬홍삼정,(주)그린바이오,
생그린키즈멀티비타민젤리,코스맥스바이오(주),
강쏘팔메토업그레이드,주식회사노바렉스2공장,
뉴:트립프로바이오틱스,코스맥스바이오(주),
칼마그로스,(주)뉴트롬,
츄어블유산균플러스코코아맛,(주)뉴팜,
초이스눈건강루테인,네이처퓨어코리아(주),
이소미골드,(주)메디언스,
리:포유바디컷,주식회사한미양행,
리노캄골드,동서바이오팜(주),
썹투민비알씨,(주)뉴트롬,
바른정(正),주식회사한미양행,
앰피케어I,(주)뉴트롬,
브이C(씨)1000,주)팜크로스,
홍우리홍삼정골드,엠에스바이오텍(주),
홈런3,(주)유니쎌팜,
프리미엄프로바이오틱스(전량수출용),(주)비피도,
프라임츄어블멀티비타민&미네랄맥스,(주)케이지앤에프,
키즈베어홍삼젤리,콜마비앤에이치(주)음성공장,
지피오,(주)생명과학,
유한m나토키나제프리미엄,엠에스바이오텍(주),
고려흑삼정캡슐프리미엄,대동고려삼(주),
고려흑삼정올데이스틱플러스,대동고려삼(주),
알로에,(주)네추럴에프앤피2공장,
엠에스디메틸설폰D,엠에스바이오텍(주),
WELSONGINSENG(전량수출용),(주)한국씨엔에스팜,
아이클리어비타민A,(주)한국씨엔에스팜,
고려홍삼성분골드캅셀,(주)유니쎌팜,
고려명가발효홍삼,(주)대화바이오,
발효홍삼밀크씨슬포르테,콜마비앤에이치(주)음성공장,
서흥B,(주)서흥,
맥스비타민D2000IU,주)팜크로스,
해셀팩트심,(주)유유헬스케어,
항산화엔프로폴리스,(주)비오팜,
솔빛루테인7,주식회사한미양행,
힘파워(전량수출용),(주)비티진,
홍삼농축액15,금산덕원인삼약초영농조합법인,
핏밸런스바디다이어트,주식회사한미양행,
정상적인면역기능에필요한코코몽면역젤리엘더베리맛,콜마비앤에이치(주)음성공장,
정상적인면역기능에필요한이뮨젤리,콜마비앤에이치(주)음성공장,
인핸스드에센셜혼합유산균,(주)네추럴에프앤피2공장,
굿베이스멀티비타민미네랄,(주)서흥,
리얼아이루테인,(주)허브큐어,
굿베이스비타민E,(주)서흥,
시원하다전립쎈프라임,(주)한국씨엔에스팜,
그린라이트쾌변젤리,콜마비앤에이치(주)음성공장,
슈퍼바이탈비,풀무원건강생활(주),
비움다이어트,(주)오투바이오,
샹프리키토산,(주)네추럴에프앤피2공장,
