,pdf기사본문따오기,본문
10,,"2021.7.25.https://news.joins.com/article/print/23580658[비즈스토리]주부부터직장인까지겪는명절증후군6년근홍삼제품으로말끔히날리세요[중앙일보]입력2019.09.1900:02KGC인삼공사가추석연휴를보내며생긴\xa0‘명절증후군’을극복하는데도움을주는연령대별홍삼제품을추천했다.명절증후군이란명절때받는스트레스로정신적또는육체적증상을겪는것을말한다.가사노동과긴이동등으로쌓인육체적피로와가족들간의관계로인한정신적스트레스까지포함한다.특히과거에는명절증후군을겪는대상이대부분주부였지만,최근에는남편·미혼자녀등그범위가확대되고있다.\xa0\xa0KGC인삼공사는명절기간가장고생한40대이상여성을위해정관장‘화애락진’을추천한다.정관장화애락진은식약처로부터KGC인삼공사‘갱년기여성건강에도움을줄수있음’을공식적으로인정받은국내갱년기건강기능식품의대표적인제품이다.6년근홍삼에녹용·당귀·작약과같은엄선한자연소재를조화시켜,중년여성의가장큰고민인갱년기건강관리에도움을줄수있는제품이다.\xa040대이상남성에게는프리미엄녹용브랜드‘천녹’을추천한다.녹용은홍삼과함께원기회복에좋은소재로,대표상품천녹정은정관장6년근홍삼과녹용을진하게담았다.홍삼과녹용모두성인기준일일권장량이함유돼있어연휴기간지친남편의일상에활력을더할\xa0\xa0수있다.https://news.joins.com/article/print/235806581/2\x0c2021.7.25.https://news.joins.com/article/print/23580658정관장화애락진은갱년기에접어든여성건강에도움을주는식약처공인건강기능식품이다.왼쪽사진은홍삼정에브리타임.[사진KGC인삼공사]활동량이많은2030세대에게는‘정관장에브리타임’을추천한다.취업준비생이나직장인모두명절에더피곤한것이사실이다.홍삼정에브리타임은정관장6년근홍삼농축액을스틱형포장에담아언제어디서든편리하게섭취할수있다.젊은층이가장선호하는홍삼제품이며,함량과포장에따라다양한가격대로구성해구매부담을덜었다.KGC인삼공사관계자는“이번추석연휴는기간이짧아평소보다피로를느끼는사람이더많다”면서“피로해소에도움을주는홍삼제품이명절증후군으로고생하시는많은분에게힘이되면좋겠다”고말했다.정관장은전국정관장매장과백화점·면세점및온라인정관장몰(www.kgcshop.co.kr)등에서만나볼수있다.중앙일보디자인=김재학기자kim.jaihak@joongang.co.kr\xa0\xa0\xa0\xa0\xa0https://news.joins.com/article/print/235806582/2\x0c'"
11,,"2021.7.25.https://news.joins.com/article/print/23538990[issue&]본격적인무더위에지친수험생건강‘프리미엄홍삼’으로간편하게챙기자![중앙일보]입력2019.07.3000:02KGC인삼공사KGC인삼공사는국내산6년근홍삼에녹용·상황버섯·빌베리등을더해만든수험생맞춤형프리미엄대환제품‘아이패스브레인’을출시했다.1환씩포장돼휴대가간편하다.[사진KGC인삼공사]본격적인무더위가시작됨에따라자녀의건강에대한부모의관심이높아질수밖에없다.더운날씨탓에집중력과체력이떨어지고냉방으로인한실내외기온차로각종질병에노출되기쉬워지기때문이다.홍삼은여름철청소년건강관리를위해많이찾는건강기능식품이다.기억력개선과면역력증진,피로개선등에도움을줄수있는기능성을식품의약품안전처로부터인증받았다.KGC인삼공사는10대를위한홍삼브랜드‘정관장아이패스’제품의올해6월매출이지난해대비약5%증가했다고밝혔다.학업으로바쁜가운데간편하게건강을챙길수있는점을‘정관장아이패스’의인기요인으로보고있다.\xa0\xa0\xa0최근KGC인삼공사는홍삼제품의인기에힘입어‘아이패스브레인’을선보였다.국내산https://news.joins.com/article/print/235389901/2\x0c2021.7.25.https://news.joins.com/article/print/235389906년근홍삼에녹용·상황버섯·빌베리등을더해만든수험생맞춤형프리미엄대환제품이다.하루에1환으로간편하게수험생건강을챙길수있도록제품화했다.1환씩개별포장해휴대가간편하며,개별포장케이스는손바닥지압용으로활용할수있다.\xa0\xa0\xa0\xa0\xa0KGC인삼공사관계자는“무더위가이어지며청소년건강관리에대한관심이높아지는가운데피로해소,기억력개선등에도움을줄수있는홍삼제품에대한수요가늘고있다”면서“엄격한원료선정과철저한품질관리를거치는정관장홍삼제품이청소년건강관리에도움이되길바란다”고말했다.‘정관장아이패스’는KGC인삼공사가100%계약재배한6년근홍삼만사용하고총290여가지항목에대한일곱번의안전성검사를진행하는등까다로운품질관리를통해높은신뢰를얻고있다.▶11~13세성장기자녀를위한‘아이패스제이(J)’▶14~16세청소년을위한‘아이패스엠(M)’▶17~19세수험생체력관리를위한‘아이패스에이치(H)’등연령대에맞춘제품과특별히집중체력관리가필요할때섭취할수있는‘아이패스파워’등소비자의니즈를반영한다양한라인으로구성돼있다.중앙일보디자인=김승수기자kim.seungsoo@joongang.co.krhttps://news.joins.com/article/print/235389902/2\x0c'"
12,,"2021.7.25.기사인쇄[2018경향히트상품]하이생홍삼하이생,무농약인증받은원료들만사용한발효현미효소식품2018-12-1920:40입력2018-12-1920:44수정홍삼하이생은깐깐하게엄선한국내산6년근홍삼과현미,미강,대두등안전한100%국내산주재료를사용했기때문에소비자들이믿고구입할수있는제품이다.홍삼하이생은복합발효기술의연구개발을통해홍삼과현미,미강,대두를‘황국균’과‘유산균’으로발효해홍삼의유효성분과효소를동시에섭취할수있는홍삼건강기능식품이다.최적의발효효율을나타낼수있는시간과온도에서생산하여홍삼의유효성분흡수율을더욱높인것이특징이다.또홍삼은혈소판응집억제를통해혈액흐름,기억력개선,황산화작용에도움을줄수있기때문에스트레스가많은직장인,점차기억력이감퇴되는중년의주부,혈액순환이필요한가족과체질이약한어린이등온가족의건강에도움을준다.하이생은100%국내산현미와미강으로만든발효현미효소식품으로,무농약인증을받은원료들만사용해생산하며인증받지못한원료는생산시설내반입자체를허용하지않는철저한원료검수기준을적용하고있다.https://www.khan.co.kr/print.html?art_id=201812192040005&media=khan1/2\x0c이렇게철저한기준을통해선별된현미와미강은6대4의비율로혼합발효과정을거쳐소화흡수가용이한형태로기사인쇄2021.7.25.만들어진다.하이생만의복합발효기술을통해현미와미강을유산균과황국균으로발효시켜발효효율을높임으로써영양분과유산균의체내흡수를돕는다.ⓒ경향신문&경향닷컴,무단전재및재배포금지CopyrightⓒTheKyunghyangShinmun,Allrightsreserved.https://www.khan.co.kr/print.html?art_id=201812192040005&media=khan2/2\x0c'"
13,,"2021.7.25.스페셜특집섹션""여성갱년기고민만하지마세요""-조선일보""여성갱년기고민만하지마세요""정관장화애락진이경석Food&Style기자입력2018.11.2603:00폐경은여성의월경이완전히멈추는것으로이시기를폐경기또는갱년기라고부른다.보통45~55세사이에나타나며,최정관장‘화애락진’은갱년기여성건강에도움을줄수있는건강기능식품으로식약처로부터기능성을인정받았다.근엔스트레스로인한조기난소기능부진등으로시기가앞당겨지는추세다.갱년기에는우울감등감정기복이심해지고각종질환의위험이커져주의가필요하다.폐경후에는노화가가속화되는것은물론이고골다공증,고혈압,심근경색등질환에노출될가능성이커진다.우리나라여성중30%가량이각종폐경기증상으로고통받는것으로추정된다.전문가들은그냥지나가는시기로여기고방치할것이아니라적극적인관리에나설것을권한다.균형잡힌식사와꾸준한운동,충분한수면등이갱년기를극복하는생활습관으로꼽힌다.갱년기증상에도움되는식품을섭취하는것도한방법이다.홍삼은호르몬수치에는영향을주지않으면서갱년기증상완화에도움을주는것으로밝혀졌다.당귀,백작약,천궁,적복령등의약재로구성되는당귀작약산도갱년기증상에도움을주는대표적한의학처방으로알려졌다.정관장\'화애락진\'은식품의약품안전처로부터갱년기여성건강에도움을줄수있는기능성을인정받은건강기능식품이다.6년근홍삼에녹용,당귀,작약등엄선한자연재료를더해중년여성의고민인갱년기증상완화에도움을준다.주원료인홍삼은정관장특유의철저한품질관리를통해선별된다.100%계약재배를통해수확된홍삼은290여가지안전성검사를7회에걸쳐실시,합격한것만제품에사용하게된다.부원료또한홍삼에준하는품질관리를거친다.\'화애락큐\'는주원료인6년근홍삼에복령,백출,작약,당귀,대나무잎등을함유했다.타브렛(정제)제형으로먹기쉽고휴대가간편하다.\'화애락본\'은6년근홍삼https://www.chosun.com/site/data/html_dir/2018/11/25/2018112501091.html1/2\x0c2021.7.25.""여성갱년기고민만하지마세요""-조선일보을기본으로당귀,작약,대나무잎,복령,백출등을더해건강한젊음을유지하고싶은중년여성에게도움을주는제품이다.https://www.chosun.com/site/data/html_dir/2018/11/25/2018112501091.html2/2\x0c'"
14,,"2021.7.25.서울신문[클릭e상품]발효홍삼을환·액상으로담아입력:2018-08-2917:08ㅣ수정:2018-08-2917:24발효홍삼건강기능식품인한국야쿠르트의‘발효홍삼’은소비자의연령대에맞춰제형과맛,원료를차별화했다.‘발효홍삼원기진액’(이하원기진액)과‘발효홍삼황실기력단’(이하황실기력단)의두가지제품이있다.홍삼·아연을환·액상으로각각담아낸‘원기진액’은이중제형패키지를사용한게특징이다.뚜껑에는홍삼을비롯한당귀,녹용,숙지황등의10가지부원료로만든환이들어있고,병에는아연5㎎을함유한액상이담겨있다.뚜껑을열어액상과환을함께먹으면된다.6년근농협홍삼을사용한‘황실기력단’은발효홍삼농축액과효소처리로열젤리분말,녹용,녹용발효추출분말등21가지원료를한알에담았다.김태곤객원기자kim@seoul.co.krCopyrightⓒ서울신문사Allrightsreserved.https://www.seoul.co.kr/news/seoulPrintNew.php?id=201808300370051/1\x0c'"
15,,"2021.7.25.한경닷컴|프린트프린트닫기""홍삼먹고힘내세요""입력2018-03-2919:04수정2018-03-3005:43KGC인삼공사가정관장‘홍삼톤청’신제품을29일내놨다.홍삼하루권장량과허브추출물을한포에농축시켜면역력증진,피로개선등의효과가있다.맥문동,유백피,도꼬마리등건강증진에좋은식물을부원료로사용했다.모델들이홍삼톤청을선보이고있다.신경훈기자khshin@hankyung.com프린트닫기https://www.hankyung.com/print/20180329436911/1\x0c'"
16,,"2021.7.25.[하반기히트상품-편강한방연구소‘구전녹용’]러아바이스크농장녹용사용-국민일보[하반기히트상품-편강한방연구소‘구전녹용’]러아바이스크농장녹용사용입력2017-12-2622:24편강한방연구소와편강한의원이합심해녹용과몸에좋은9가지성분을섞어만든‘구전녹용’.편강한방연구소제공편강한방연구소는편강한의원과공동개발해몸에좋다고알려진귀한재료9가지를함께달인‘구전녹용’을선보이고있다.국내에유통되는녹용제품중러시아녹용은사슴이살기적합한추운환경덕에품질이우수하다.편강한방연구소는러시아아바이스크농장의녹용을전량사용하고있다.구전녹용에는양질의녹용뿐아니라홍삼등신체에유익한9가지국내산재료가첨가됐다.별도로맛을내기위한인공첨가물은하나도넣지않고오로지아카시아꿀등천연재료로만맛을냈다.편강한방연구소관계자는“구전녹용,구전녹용순,구전녹용금지옥엽등을연령별,입맛별로골라섭취할수있다”며“패키지포장에있어서iF디자인어워드를수상할정도로디자인을인정받았다”고말했다.COPYRIGHTBYKUKMINILBOALLRIGHTSRESERVED.news.kmib.co.kr/article/print.asp?arcid=09238731641/2\x0c2021.7.25.[하반기히트상품-편강한방연구소‘구전녹용’]러아바이스크농장녹용사용-국민일보news.kmib.co.kr/article/print.asp?arcid=09238731642/2\x0c'"
17,,"2021.7.25.디지털시대경제신문디지털타임스기사주소:http://www.dt.co.kr/contents.html?article_no=2017070602109923811015여름철떨어진우리아이면역력,어린이홍삼추천인터넷마케팅팀기자cskim@dt.co.kr|입력:2017-07-0614:32본격적인무더위와장마가시작되면서아이들의체력보충과함께면역력에도움을줄수있는제품에대한관심이높아지고있다.이에면역력증진,피로개선,혈소판응집억제를통한혈액흐름,기억력개선,항산화등식약처에서인증한5대기능을가진홍삼이부모들의이목을끌고있다.특히우리아이의건강을위하여성장단계별로구성된어린이홍삼전문제품을선택하는것이중요하다.홍삼브랜드정관장의홍이장군의경우자녀의연령대에따라1~3단계로선택할수있으며290여가지이상의안전성검사를7번거쳐깐깐하게만들어진제품이다.6년근홍삼을주원료로해당귀와녹용,대추를부원료로사용했다.△1단계는영양의균형과소화흡수가중요한3~4세아이△2단계는첫단체생활에서튼튼하게뛰어놀기위한5~7세아이△3단계는체력이필요한8~10세아이를위한홍삼으로구성되어있다.한편정관장홍이장군은정관장매장및백화점,홈페이지등을통해만나볼수있다.cskim@dt.co.krwww.dt.co.kr/etc/article_print.html?article_no=20170706021099238110151/2\x0c2021.7.25.디지털시대경제신문디지털타임스[저작권자ⓒ디지털타임스무단전재-재배포금지]CopyrightⓒDigitalTimesAllRightsReserved.www.dt.co.kr/etc/article_print.html?article_no=20170706021099238110152/2\x0c'"
18,정소현,"[2015상반기경향히트상품]천호식품‘녹용홍삼’-체력·면역력높이는귀한원료담아2015-06-1821:34입력2015-06-1909:08수정기력을위한보양식품,면역력을높이는식품으로천호식품‘함께먹어더좋은녹용홍삼’(이하‘녹용홍삼’)도올상반기많은사랑을받았다.특히TV광고를통해귀한원료와정직한가격이알려지며더욱주목을받고있다.내몸을지키는힘이필요한지금,체력과면역력을동시에올려주는제품이다.‘녹용홍삼’은기력보강제품으로녹용과6년근홍삼등귀한원료만을담아냈다.특히녹용상대는녹용의윗부분으로절단면전체가붉은빛을띠며조직이치밀한것이특징으로한방에서도높이평가받고있다.제품에들어간녹용의양은무려8만2500㎎으로돈으로따지면22돈에해당된다.또한녹용의최적의산지인뉴질랜드에서자연방목하여기른사슴의녹용만을사용한다.‘녹용홍삼’은녹용과함께여섯번의겨울을견뎌삼의힘이좋다는6년근홍삼을함께담았다.녹용,홍삼등귀한원료를천호식품의특화된기술력으로배합,원료의유효성분은최대화하고위생적으로추출해한팩에담아냈다.080-789-1005,www.chunho.netⓒ경향신문&경향닷컴,무단전재및재배포금지CopyrightⓒTheKyunghyangShinmun,Allrightsreserved.\x0c'"
19,,"[2016우수상품]산촌허브원포스,고개숙인중·장년남성위한희소식입력:2016-12-2717:16ㅣ수정:2016-12-2717:33사람은누구나일정한나이가되면생체기능이떨어지게돼있다.대표적으로남성들의성기능을들수있다.매사의욕이없고소변줄기가약해진다.최근원광대학교와산학협력으로산촌허브연구팀에서남성기능을개선하는데도움을주는‘원포스’를선보였다.원포스는남미고대원주민들이최음제로사용했었고현대에이르러서도남성기능개선의대명사로알려진다미아나,우리선조들이예부터남성기능을강화하기위해많이쓴야관문,누에,산수유,오자등과‘엘-아르기닌’등의미네랄이조합된고품질제품이다.산촌허브관계자는“일시적인유도를위해화학성분으로만든제품이아니며일체의유해성분없이순수자연유래성분추출물로서남성기력강화에도움을줄수있다”고말했다.관계자는이어“다미아나,야관문,홍삼등을통해양의기운을북돋우고누에,산수유,오자등으로강력하게음을보충했다”면서“필수아미노산으로각광받는엘-아르기닌과산화아연으로기능을향상시켰다”고설명했다.하루1~2회섭취로일주일정도마시면변화를느낄수있으며두달정도마시면진가를알수있다는게산촌허브측의설명이다.Copyrightⓒ서울신문사Allrightsreserved.\x0c\x0c'"
20,,"""취\xa0\xa0소[신상품]흑삼·인삼열매`듬뿍`…보양식따로찾을필요없죠CJ제일제당`흑삼지천보진`김병호기자입력:2018.07.1204:03:01\xa0CJ제일제당이신제품한뿌리흑삼지천보진(眞)을선보였다.흑삼지천보진은구증구포방식으로정성껏만든흑삼에인삼열매까지넣은일물전체식(一物全體食)으로지금껏없었던신제품이다.일물전체식이란원재료를뿌리부터열매,껍질까지버리는것없이재료의영양소를통째로섭취하는방식이다.이렇듯일물전체식으로만든흑삼지천보진은흑삼기운을통째로느낄수있는것이특징이다.또흑삼은구증구포과정을거치면서진세노사이드성분이크게증가하는데흑삼지천보진은이렇게증가된진세노사이드의흡수율을높이기위해흑삼을미세하게분말화해넣고흑삼농축액까지더해한포당수삼15g에달하는영양을담았다.여기에4년에한번열리는귀한인삼열매를사용한진생베리농축액까지더해인삼기운을뿌리부터열매까지고스란히맛볼수있다.한뿌리흑삼지천보진은조선시대왕실의보양식인인삼속미음(人蔘粟米飮)을현대적으로재탄생시킨제품이다.흑삼을통째로넣은것은물론쌀페이스트와귀리추출농축액을넣어더욱진하게영양의조화를이뤘다.또한영양흡수를돕기위한산사열매·대추·생강농축액,에너지보충을위한영지버섯·당귀·두충까지넣었다.특히주목할점은오직건강한원료로만만들었다는점이다.옛고서를토대로아카시아벌꿀과감초추출물,배농축액으로맛을더해인공적인단맛이아닌건강한단맛과인삼본연의쌉쌀한맛의조화가일품이다.원료수삼에대해서도양질의국산수삼만을엄선한뒤324종잔류농약검사와미생물검사,중금속\x0c검사등까다로운검사를통과한수삼만을사용하기때문에더욱믿을수있다.한뿌리흑삼지천보진은귀한원료를통째로담아귀하게만든만큼,소중한분들을위한품격있는감사선물로제격이다.여름철건강관리를위해서도추천할만하다.7월을맞아최대33%할인행사와6개월분구매시'한뿌리흑삼기력'1세트를추가증정하는이벤트도동시진행중이다.CJ제일제당콜센터를통한전화주문으로만구입이가능하다.[김병호기자][ⓒ매일경제&mk.co.kr,무단전재및재배포금지]\x0c"""
21,,"[신제품]동원F&B,‘천지인알파홍삼려(麗)’출시입력2011-03-3010:46[쿠키건강]동원F&B는갱년기여성건강에도움을주는‘백수오등혼합추출물’이함유된기능성홍삼농축액,‘동원천지인알파홍삼려(麗)’을출시했다.‘동원천지인알파홍삼려(麗)’는6년근홍삼농축액에‘백수오등혼합추출물’,석류농축액,국내산벌꿀등이함유된복합건강식품으로갱년기여성건강에초점을둔맞춘제품이다.‘백수오등복합추출물’은식약청에서갱년기여성건강증진기능성을인정한건강기능식품소재로백수오,속단,당귀가혼합된추출물이다.갱년기여성의폐경기증후군을예방,완화해주며기존식물성여성호르몬과달리부작용이없다.동원F&B건식인삼사업부안창언상무는“고령화가가속화되면서갱년기여성인구가늘어나고있다”며“‘동원천지인알파홍삼려(麗)’는갱년기증상을근심하는여성들에게편의를주는동시에홍삼고유의효능은그대로제공하는제품이다”고말했다.‘동원천지인알파홍삼려(麗)’권장섭취량은1일1포이며30일분(30ml*30포)의가격은9만9000원이다.국민일보쿠키뉴스조규봉기자ckb@kmib.co.krCOPYRIGHTBYKUKMINILBOALLRIGHTSRESERVED.\x0c\x0c'"
22,,"[신제품]천지양,‘홍삼茶순수’출시입력2010-02-2615:39[쿠키건강]홍삼전문기업천지양은100%홍삼의가는뿌리만사용하여만든홍삼티백제품인‘홍삼차순수’를출시했다.26일천지양에따르면‘홍삼차순수’는일정한압력과온도를가해홍삼의내부조직까지팽창시키는‘정압가열공법’을적용하고삼각피라미드티백을사용하여홍삼의맛과향이풍부하게우러난다.또한온ㆍ냉수에서도빠른침출이장점인신개념홍삼차이다.‘홍삼차순수’의제품명에서‘순수(純守)’는100%홍삼만을사용한제품이라는점을표현한것이며,제품패키지는자연친화적인종이재질위에서정적인느낌의캘리그라피와인삼종자이미지를내추럴하게표현하여자연에서느껴지는편안함과차문화의여유로움을대변하는디자인으로조화롭게구성하였다.1통에0.7gx20개로구성되며총3통이담겨있다.가격은4만5000원.국민일보쿠키뉴스조규봉기자ckb@kmib.co.krCOPYRIGHTBYKUKMINILBOALLRIGHTSRESERVED.\x0c\x0c'"
23,,"[신제품]풀무원홍삼제품‘귀인홍삼정’출시입력2010-05-3112:42[쿠키건강]풀무원건강생활건강식품브랜드인풀비타는청정인삼으로만든‘풀무원귀인홍삼정’을출시했다고31일밝혔다.풀무원건강생활에따르면‘풀무원귀인홍삼정’은안전성높은GAP인증과농산물이력추적관리를획득한4년근청정인삼만을선별,제조한홍삼농축액건강기능식품이다.홍삼에다량함유된‘사포닌’으로잘알려진진세노사이드Rg1과Rb1성분은몸의면역력을증진시켜외부에저항하는힘을길러주며,체내흡수율을높여신진대사를원활하게해몸의기운을돋구고피로와스트레스해소에도움을준다.풀무원건강생활김윤미제품매니저는“귀인홍삼정은인삼자체의면역력을강화시키기위해친환경미생물농법으로재배한햇삼만을사용하기때문에일반인삼에비해사포닌의함량이높고일반홍삼에비해맛과향에서우수한것이특징”이라며“허약체질로면역력증진이필요한중장년층,스트레스와바쁜업무로피로회복이필요한직장인,원활한혈액흐름을원하는40-50대중년층,기억력개선에도움을줘현대인에의필수건강식품으로적합하다”고말했다.국민일보쿠키뉴스조규봉기자ckb@kmib.co.krCOPYRIGHTBYKUKMINILBOALLRIGHTSRESERVED.\x0c\x0c'"
24,,"금산군,항암물질다량함유\'홍삼한과\'개발최준호기자penismight@paran.com기사입력2011.08.1719:32:42최종수정2011.08.1719:32:42-금산군농업기술센터가개발한홍삼한과.ⓒ사진제공=금산군청금산군농업기술센터는""항암성분이많이함유된홍삼한과를개발했다""고17일밝혔다.이한과는홍삼정과(紅蔘正果)제조과정에서생성되는\'홍삼쌀조청물\'을활용해서만들었다.한과고유의강한단맛을전통쌀로만든조청으로조절한게특징이다.홍삼한과는성분분석결과시판중인인삼한과보다항암물질인사포닌및진세노사이드Rg3성분이최고15배정도많이함유된것으로밝혀졌다고센터측은설명했다.장정호금산군농업기술센터소장은""현재특허출원중인홍삼한과를추석을앞두고1kg단위로포장해시판할예정""이라고말했다.041-750-3511Copyright@충북일보&inews365.com\x0c'"
25,,기억력개선에도움줄수있는정관장아이패스H[중앙일보]입력2014.12.1700:03\xa0\xa0수정2014.12.1716:51정관장아이패스M·H정관장이6년근홍삼을주원료로한아이패스H와M을선보인다.아이패스H는홍삼에황기·참당귀·귀리·아미노산등이포함돼면역력증진과피로·기억력개선에도움이된다.가격은16만원(각50mL총30포).주원료인홍삼에황기·참당귀·칼슘등을조화시킨아이패스M도면역력증진과피로개선에도움을준다.맛이부드러워성장기청소년에게알맞다.가격은14만원(각50mL총30포).\x0c
